iter	Passed	Remaining
402	12915	19132
403	12947	19100
404	12982	19072
405	13017	19045
406	13050	19015
407	13083	18983
408	13114	18950
409	13146	18917
410	13177	18885
411	13210	18854
412	13242	18821
413	13273	18787
414	13305	18755
415	13338	18725
416	13371	18694
417	13404	18663
418	13437	18633
419	13463	18592
420	13501	18568
421	13533	18536
422	13565	18504
423	13598	18472
424	13629	18440
425	13659	18404
426	13690	18372
427	13723	18341
428	13756	18310
429	13787	18276
430	13819	18244
431	13850	18210
432	13882	18178
433	13915	18147
434	13948	18116
435	13978	18081
436	14013	18054
437	14044	18020
438	14076	17988
439	14110	17958
440	14138	17922
441	14173	17893
442	14206	17862
443	14232	17822
444	14264	17790
445	14295	17756
446	14327	17724
447	14359	17693
448	14392	17661
449	14425	17630
450	14452	17593
451	14485	17562
452	14517	17530
453	14548	17497
454	14579	17463
455	14612	17432
456	14645	17400
457	14679	17371
458	14711	17339
459	14745	17309
460	14776	17276
461	14808	17244
462	14839	17211
463	14871	17178
464	14903	17146
465	14934	17113
466	14966	17081
467	14997	17048
468	15029	17016
469	15061	16984
470	15094	16953
471	15127	16922
472	15158	16888
473	15184	16849
474	15215	16817
475	15248	16786
476	15282	16756
477	15315	16725
478	15349	16695
479	15381	16663
480	15414	16631
481	15446	16600
482	15479	16568
483	15512	16538
484	15546	16507
485	15577	16475
486	15609	16442
487	15643	16412
488	15675	16380
489	15707	16348
490	15740	16317
491	15771	16284
492	15803	16252
493	15838	16223
494	15865	16185
495	15898	16155
496	15931	16123
497	15964	16092
498	15995	16059
499	16027	16027
500	16062	15998
501	16096	15968
502	16129	15936
503	16161	15904
504	16194	15873
505	16226	15841
506	16258	15809
507	16290	15777
508	16321	15743
509	16354	15713
510	16385	15680
511	16417	15648
512	16450	15616
513	16483	15585
514	16515	15553
515	16548	15521
516	16581	15491
517	16612	15458
518	16644	15425
519	16676	15393
520	16709	15362
521	16742	15331
522	16778	15302
523	16811	15271
524	16842	15238
525	16875	15207
526	16909	15176
527	16943	15146
528	16976	15115
529	17009	15083
530	17041	15051
531	17074	15020
532	17107	14989
533	17140	14957
534	17171	14925
535	17204	14893
536	17236	14861
537	17268	14829
538	17300	14797
539	17333	14765
540	17363	14731
541	17397	14701
542	17429	14668
543	17460	14635
544	17493	14604
545	17527	14574
546	17561	14543
547	17594	14512
548	17626	14480
549	17660	14449
550	17692	14417
551	17726	14386
552	17758	14354
553	17791	14323
554	17822	14290
555	17854	14257
556	17886	14225
557	17920	14195
558	17952	14162
559	17982	14129
560	18013	14095
561	18044	14063
562	18077	14032
563	18109	13999
564	18141	13967
565	18176	13937
566	18208	13905
567	18241	13873
568	18273	13841
569	18304	13808
570	18335	13775
571	18367	13743
572	18403	13714
573	18434	13681
574	18465	13648
575	18496	13615
576	18527	13582
577	18558	13549
578	18589	13516
579	18621	13484
580	18652	13451
581	18683	13418
582	18714	13385
583	18742	13351
584	18776	13320
585	18809	13288
586	18840	13256
587	18874	13224
588	18907	13193
589	18939	13161
590	18971	13129
591	19004	13097
592	19036	13065
593	19069	13033
594	19102	13002
595	19133	12969
596	19165	12937
597	19196	12904
598	19229	12872
599	19260	12840
600	19293	12808
601	19325	12776
602	19355	12743
603	19387	12711
604	19417	12677
605	19449	12645
606	19482	12613
607	19516	12583
608	19551	12552
609	19583	12520
610	19616	12488
611	19648	12456
612	19680	12424
613	19711	12391
614	19743	12360
615	19776	12328
616	19806	12295
617	19838	12262
618	19869	12230
619	19902	12198
620	19936	12167
621	19968	12135
622	19999	12102
623	20030	12069
624	20062	12037
625	20095	12006
626	20127	11973
627	20160	11942
628	20191	11909
629	20224	11878
630	20255	11845
631	20287	11812
632	20319	11780
633	20351	11748
634	20382	11715
635	20415	11684
636	20447	11652
637	20478	11619
638	20512	11588
639	20538	11553
640	20570	11520
641	20604	11489
642	20636	11457
643	20669	11426
644	20700	11393
645	20734	11362
646	20765	11329
647	20796	11296
648	20828	11264
649	20861	11232
650	20892	11200
651	20925	11169
652	20958	11137
653	20991	11105
654	21024	11073
655	21055	11041
656	21091	11011
657	21123	10979
658	21157	10947
659	21189	10915
660	21221	10883
661	21253	10851
662	21286	10820
663	21318	10787
664	21349	10755
665	21382	10723
666	21413	10690
667	21446	10658
668	21477	10626
669	21510	10594
670	21542	10562
671	21574	10530
672	21607	10498
673	21640	10466
674	21671	10434
675	21704	10402
676	21736	10370
677	21767	10338
678	21798	10305
679	21833	10274
680	21863	10241
681	21896	10210
682	21931	10178
683	21963	10146
684	22000	10116
685	22029	10083
686	22061	10051
687	22094	10019
688	22128	9988
689	22160	9956
690	22194	9924
691	22227	9893
692	22259	9860
693	22292	9829
694	22322	9796
695	22354	9764
696	22384	9731
697	22412	9697
698	22441	9663
699	22472	9631
700	22501	9597
701	22534	9565
702	22566	9533
703	22594	9499
704	22622	9466
705	22651	9432
706	22683	9400
707	22711	9366
708	22743	9334
709	22772	9301
710	22805	9269
711	22837	9237
712	22870	9206
713	22903	9174
714	22935	9142
715	22966	9109
716	22998	9077
717	23029	9045
718	23057	9011
719	23089	8979
720	23121	8947
721	23154	8915
722	23186	8883
723	23218	8851
724	23250	8819
725	23283	8787
726	23316	8755
727	23348	8723
728	23376	8689
729	23408	8657
730	23439	8625
731	23471	8593
